x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
120,60,1341.978882,689.9607544,121.152054,59.283176,1.152054,0.716824,,,,,,,,,,,,
130,60,1442.966064,691.8164063,131.42563,59.474537,1.42563,0.525463,,,,,,,,,,,,
140,60,1541.963989,700.4387207,141.66238,60.361774,1.66238,0.361774,,,,,,,,,,,,
150,60,1636.459595,703.5442505,151.68683,60.68108,1.68683,0.68108,,,,,,,,,,,,
160,60,1729.755615,711.8280029,162.15018,61.532185,2.15018,1.532185,,,,,,,,,,,,
170,60,1817.932007,716.0614624,172.59897,61.966022,2.59897,1.966022,,,,,,,,,,,,
180,60,1903.068359,719.4871826,181.67203,62.31708,1.67203,2.31708,,,,,,,,,,,,
0,70,127.5,807.5,-0.4988203,71.22958,0.4988203,1.22958,,,,,,,,,,,,
10,70,214.01651,803.0487061,8.153935,70.78595,1.846065,0.78595,,,,,,,,,,,,
20,70,306.5,801,18.71555,70.580444,1.28445,0.580444,,,,,,,,,,,,
30,70,397.9890747,796.0664673,28.716969,70.08511,1.283031,0.08511,,,,,,,,,,,,
40,70,493.8786011,795.6482544,38.651745,70.04414,1.348255,0.04414,,,,,,,,,,,,
50,70,593.1905518,788.5302124,48.69498,69.32883,1.30502,0.67117,,,,,,,,,,,,
60,70,695.322876,788.6075439,58.927677,69.33678,1.072323,0.66322,,,,,,,,,,,,
70,70,802.5533447,783.5574951,69.48616,68.82912,0.51384,1.17088,,,,,,,,,,,,
80,70,910.5,781.5,79.81537,68.622284,0.18463,1.377716,,,,,,,,,,,,
90,70,1019.695618,778.6074829,90.031906,68.33069,0.031906,1.66931,,,,,,,,,,,,
100,70,1131.5,782.5,100.52463,68.722855,0.52463,1.277145,,,,,,,,,,,,
110,70,1239,785.5,110.89676,69.0238,0.89676,0.9762,,,,,,,,,,,,
120,70,1345.414551,788.1473999,121.49489,69.290665,1.49489,0.709335,,,,,,,,,,,,
130,70,1446,794,131.75073,69.87944,1.75073,0.12056,,,,,,,,,,,,
140,70,1545.759033,797.390564,142.04922,70.21861,2.04922,0.21861,,,,,,,,,,,,
150,70,1639.5,803.5,151.98291,70.83113,1.98291,0.83113,,,,,,,,,,,,
160,70,1732.3396,807.1126099,162.49069,71.19191,2.49069,1.19191,,,,,,,,,,,,
170,70,1818.616455,811.5502319,172.67075,71.63333,2.67075,1.63333,,,,,,,,,,,,
180,70,1906.33667,818.4630127,181.95105,72.322586,1.95105,2.322586,,,,,,,,,,,,
0,80,125.4440308,906.4205933,-0.65687466,80.928314,0.65687466,0.928314,,,,,,,,,,,,
10,80,210.2844391,904.5390625,7.7341547,80.74637,2.2658453,0.74637,,,,,,,,,,,,
20,80,303.9008179,902.3942261,18.422234,80.53842,1.577766,0.53842,,,,,,,,,,,,
30,80,395.5,898,28.452969,80.1142,1.547031,0.1142,,,,,,,,,,,,
40,80,493.0118713,897.2930298,38.563457,80.04602,1.436543,0.04602,,,,,,,,,,,,
50,80,589.4256592,895.2172241,48.3159,79.847626,1.6841,0.152374,,,,,,,,,,,,
60,80,691.2738647,889.4301758,58.524532,79.286255,1.475468,0.713745,,,,,,,,,,,,
70,80,796.918335,889.9902954,68.9384,79.34207,1.0616,0.65793,,,,,,,,,,,,
80,80,906.3023071,884.817749,79.41901,78.83984,0.58099,1.16016,,,,,,,,,,,,
90,80,1020,885.5,90.06052,78.90646,0.06052,1.09354,,,,,,,,,,,,
100,80,1131.458862,885.5714722,100.52016,78.91333,0.52016,1.08667,,,,,,,,,,,,
110,80,1243.664063,888.9202271,111.35332,79.237915,1.35332,0.762085,,,,,,,,,,,,
120,80,1345.594238,892.0773926,121.521286,79.54352,1.521286,0.45648,,,,,,,,,,,,
130,80,1447.084106,898.6542969,131.84186,80.17874,1.84186,0.17874,,,,,,,,,,,,
140,80,1545.330322,899.6312866,141.99487,80.27142,1.99487,0.27142,,,,,,,,,,,,
150,80,1642.784668,902.8208008,152.34589,80.5795,2.34589,0.5795,,,,,,,,,,,,
160,80,1732.459961,906.055603,162.48395,80.89163,2.48395,0.89163,,,,,,,,,,,,
170,80,1824.260498,909.5025024,173.30963,81.22232,3.30963,1.22232,,,,,,,,,,,,
180,80,1907.861572,912.1210327,182.14389,81.475555,2.14389,1.475555,,,,,,,,,,,,
0,90,123.5897369,1001.716614,-0.796443,89.97446,0.796443,0.02554,,,,,,,,,,,,
10,90,211.3449097,1004.061768,7.853238,90.19293,2.146762,0.19293,,,,,,,,,,,,
20,90,302.0885315,1001.016663,18.217453,89.908875,1.782547,0.091125,,,,,,,,,,,,
30,90,393,1001.5,28.187374,89.955505,1.812626,0.044495,,,,,,,,,,,,
40,90,490.0319214,998.3762817,38.25971,89.66058,1.74029,0.33942,,,,,,,,,,,,
50,90,589.1624146,1001.45105,48.28944,89.949615,1.71056,0.050385,,,,,,,,,,,,
60,90,691.1031494,996.7446289,58.507366,89.506165,1.492634,0.493835,,,,,,,,,,,,
70,90,794.5690918,995.2603149,68.709595,89.365845,1.290405,0.634155,,,,,,,,,,,,
