x, y, x_pixel, y_pixel,x_mm,y_mm,err_x,err_y,x_mm_,y_mm_,err_x,err_y,,,,,,,,,,,
60,30,714.3413696,400.3471069,60.87894427,28.68357264,0.878944271,1.316427362,60.80463202,28.96329437,0.80463202,1.036705627,,,,,,,,,,,
70,30,818.5740356,397.0354919,70.88923952,28.31455705,0.889239518,1.685442947,71.01228864,28.60062076,1.012288642,1.399379241,,,,,,,,,,,
80,30,918.329895,395.6611938,80.33444752,28.16133111,0.334447521,1.838668895,80.50664076,28.44986106,0.506640756,1.550138942,,,,,,,,,,,
90,30,1021.367126,391.61026,90.06325862,27.70938654,0.063258624,2.29061346,90.11055168,28.00459719,0.110551676,1.99540281,,,,,,,,,,,
100,30,1127.410522,395.7107544,100.1306247,28.16685733,0.130624688,1.833142672,100.0113273,28.45530042,0.011327285,1.544699577,,,,,,,,,,,
110,30,1226.057007,396.1231689,109.5895244,28.21284334,0.410475576,1.787156663,109.4409653,28.50055614,0.559034735,1.499443855,,,,,,,,,,,
120,30,1329,401.5,119.5907486,28.81196933,0.409251388,1.188030669,119.5737202,29.08935501,0.426279803,0.910644993,,,,,,,,,,,
130,30,1428.5,407,129.4386951,29.42399247,0.56130494,0.576007526,129.5675519,29.68935815,0.432448132,0.310641848,,,,,,,,,,,
140,30,1524.254639,414.0435791,139.1774843,30.20651231,0.82251575,0.20651231,139.2917982,30.45452795,0.708201752,0.454527951,,,,,,,,,,,
150,30,1618.510498,418.2402344,149.1305486,30.67204834,0.869451413,0.672048338,149.070237,30.90878029,0.929763001,0.908780286,,,,,,,,,,,
160,30,1713.862427,425.6400757,159.6368989,31.49160119,0.363101133,1.491601193,159.4882268,31.70691397,0.511773217,1.706913971,,,,,,,,,,,
170,30,1800.592773,432.8688354,169.4395163,32.29053767,0.560483659,2.290537667,169.5181912,32.48329868,0.481808799,2.48329868,,,,,,,,,,,
180,30,1888.786621,442.9126587,179.0673175,33.39776297,0.93268252,3.397762973,179.1469568,33.55704947,0.85304321,3.557049469,,,,,,,,,,,
0,40,142.9230042,523.4522705,0.884430714,42.1447751,0.884430714,2.144775099,0.787514313,42.02481983,0.787514313,2.024819827,,,,,,,,,,,
10,40,232.4753723,515.0059204,10.46776068,41.23906511,0.467760682,1.239065112,10.25191765,41.14452457,0.251917646,1.144524569,,,,,,,,,,,
20,40,321.3786316,508.566864,20.17567692,40.54671776,0.175676924,0.546717765,20.38506877,40.47266402,0.385068771,0.472664017,,,,,,,,,,,
30,40,416,505,30.43283062,40.16250174,0.432830616,0.16250174,30.61505517,40.10016606,0.615055169,0.100166057,,,,,,,,,,,
40,40,513.8374634,501.338501,40.76812598,39.767577,0.768125978,0.232422999,40.67820387,39.71751991,0.678203869,0.282480091,,,,,,,,,,,
50,40,609.3377686,497.2987976,50.51873057,39.33125745,0.518730568,0.66874255,50.31269636,39.29501394,0.31269636,0.704986058,,,,,,,,,,,
60,40,712.2045898,492.4019165,60.67130792,38.80151417,0.67130792,1.198485833,60.59271933,38.78234634,0.592719328,1.217653664,,,,,,,,,,,
70,40,815.2689819,486.5129395,70.57470125,38.16323285,0.574701255,1.836767146,70.69304847,38.16500247,0.693048467,1.83499753,,,,,,,,,,,
80,40,918.803894,487.1505127,80.379197,38.23240093,0.379197,1.767599071,80.55116444,38.23188488,0.551164442,1.768115117,,,,,,,,,,,
90,40,1024.094482,484.4496155,90.32121183,37.93928635,0.321211832,2.060713649,90.36383023,37.94847765,0.363830231,2.051522351,,,,,,,,,,,
100,40,1128.419312,488.8435669,100.226847,38.41599744,0.226846962,1.584002557,100.1064297,38.40943433,0.106429714,1.590565669,,,,,,,,,,,
110,40,1229.292725,491.7368469,109.9016578,38.72949666,0.098342227,1.270503339,109.7550535,38.71267265,0.244946454,1.287327354,,,,,,,,,,,
120,40,1333,494.5,119.9827026,39.02859709,0.017297358,0.971402911,119.9725458,39.00207178,0.027454208,0.997928221,,,,,,,,,,,
130,40,1434.155029,498.0156555,130.0055879,39.40872993,0.005587899,0.591270072,130.1390665,39.37001578,0.139066486,0.629984218,,,,,,,,,,,
140,40,1530.5,505.5,139.8244469,40.21639023,0.175553096,0.216390228,139.9307806,40.15239745,0.069219352,0.152397449,,,,,,,,,,,
150,40,1626.934082,511.2859192,150.0410518,40.83927755,0.041051798,0.839277554,149.9640178,40.75646267,0.035982186,0.756462666,,,,,,,,,,,
160,40,1720.044556,521.385437,160.3315485,41.92340702,0.331548462,1.923407018,160.1886933,41.80950656,0.18869327,1.809506561,,,,,,,,,,,
